ImageId,ColourFeatures.Mean.Red,ColourFeatures.Mean.Green,ColourFeatures.Mean.Blue,ColourFeatures.Normalization.Red,ColourFeatures.Normalization.Green,ColourFeatures.Normalization.Blue
image_01,126.371584,138.276504,89.586072,64262.23283704024,70368.42617462573,46358.78134361747
image_02,123.975152,119.378232,115.413732,64135.209505453,62725.7173142082,62617.708565190456
image_03,117.054964,97.495524,70.025088,59909.29879638673,50991.540621184,35859.88447797922
image_04,168.771192,133.526452,105.420656,85331.03162949161,69192.99866345293,58596.78830470319
image_05,80.663916,75.862024,67.42502,43302.46287652973,40082.45320040345,36129.15664017016
image_06,143.689896,132.911184,116.053604,75365.87628749327,70666.6878301074,64256.6616393431
image_07,174.808772,162.691564,147.85212,87592.64620650547,81810.17085965422,76017.15838839658
image_08,212.289068,210.882308,210.782452,107092.56657419336,106681.4834036888,106977.8288548317
image_09,162.777624,125.395424,91.785016,82326.19939390563,63109.306316756505,46147.84020423302
image_10,86.03566,93.691624,71.406752,49306.16562838115,50482.25687054096,39119.99367149091
image_11,90.374972,88.936264,46.207908,52326.554408573575,49942.546302859446,29176.309997777476
image_12,126.770716,114.893416,79.345528,64976.464589090894,58582.95686972711,40845.28314314134
image_13,141.45478,96.928484,81.116228,75718.65401446019,52042.23537352237,44169.33094262145
image_14,92.054276,87.501772,78.268544,48954.252135060255,45986.38981764604,41761.48667960351
image_15,43.502832,146.52362,194.11912,37818.25597872462,74934.39040912729,97459.5498101122
image_16,75.072308,68.350864,72.533124,43926.213120674096,38656.83660649271,39585.67184697681
image_17,48.191988,55.13552,53.720452,26765.249975445822,29758.518601023537,29475.01157260474
image_18,98.269008,100.212624,99.968248,50582.16816085872,51222.26196045461,50814.93423959992
image_19,128.396356,137.638864,161.23052,66539.25790883138,72929.77452427355,87135.1512053996
image_20,128.421548,128.66798,122.783912,65799.30933608871,65866.76023525916,63030.16238748865
image_21,140.381816,143.954868,130.905292,74696.5402521747,77397.69703683781,68945.34883384101
image_22,113.115024,83.29422,51.822096,61593.48764714029,45648.36597286016,28731.82662961014
image_23,53.680824,48.263688,43.104612,34042.3148937557,31087.227261719203,28908.60654920932
image_24,102.501148,127.777872,78.479272,56899.82915997877,66002.56934635596,43902.00955371571
image_25,90.850836,124.24912,122.367728,48186.5288598745,63001.33606019898,62881.96194665083
image_26,55.86214,83.312392,48.766104,31973.19490418161,45119.7560626433,27978.469177283325
image_27,145.959316,132.433484,100.818116,74272.60581173177,67623.66186101614,52123.983658461286
image_28,173.571256,171.352888,164.295336,87742.5472561686,86750.28203039317,83629.93796967712
image_29,79.031272,54.038376,35.362564,43009.38512850763,30318.761897154884,20859.62769002969
image_30,86.949976,84.69888,77.5589,49921.54329291914,47904.76899064634,43428.93890045824
image_31,69.333228,49.002852,29.90876,42924.96178137806,31838.118067855776,15997.76933002959
image_32,114.807764,96.140168,53.262084,60080.78705392484,50222.58734511201,30863.850267809004
image_33,104.565096,108.82014,87.478892,55355.60661422598,57663.75634215352,46717.60895199636
image_34,89.596884,84.558412,50.753384,46399.34843667793,43603.72550246399,28354.894643182968
image_35,138.50962,109.376076,60.459188,71978.35572827599,56716.5719717398,31980.523594898343
image_36,110.786112,85.2996,65.195524,56161.38510735987,43139.014719456856,32890.95102919685
image_37,119.805312,116.647184,75.94546,63676.95464398646,61095.93878640489,42002.63986661707
image_38,100.701524,101.465884,49.532896,53643.94369070687,52193.58892153495,26728.49502934227
image_39,189.188408,171.716684,90.016892,97027.43009863493,86485.76229616326,47644.43556412545
image_40,76.654796,64.669376,59.191168,41744.86401535323,35141.471131725615,32295.00021667587
image_41,110.430812,115.584004,121.7456,63112.24305751803,67408.72426114748,73421.74417444247
image_42,76.92124,61.734424,41.14772,43984.07349779559,35132.19010421248,27513.421768940774
image_43,107.831244,125.172392,38.164468,54735.7338257756,63253.91685863069,20445.10044746113
image_44,164.027536,143.831296,114.64868,86426.15879281616,75410.45139235952,60092.96831504283
image_45,52.837648,40.752152,29.822076,37786.50236255182,29485.49020797792,22603.112219586517
image_46,35.6721,105.362576,80.59442,20055.00587878253,54005.86403679917,43432.06418929667
image_47,112.688168,118.082816,56.58288,58020.090213529285,63451.79416998882,31022.359933122123
image_48,160.166164,155.459796,142.391364,82486.71485833827,79791.77219776642,74687.60070244427
image_49,123.6452,153.04186,102.95216,64328.88889998738,79694.42732439788,53901.73025287223
image_50,114.10846,115.181432,69.698872,59897.82877652946,59295.68973727532,37368.1241262706
